opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,_source_file,cache,capacity,form_factor,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,interface,lighting,metadata_last_manually_spec_verified_at,metadata_part_numbers,nvme,storage_type,type
2698e683-59fb-4c21-8aae-f890bb076372,GameStop 23VG-GSPL-GameStop 1TB SSD Heatsink M.2 PCIe 4.0 NVMe,GameStop,23VG-GSPL-GameStop,1000GB,,2698e683-59fb-4c21-8aae-f890bb076372.json,,1000,M.2-2280,,,,,,,M.2 PCIe 4.0 x4,,,23VG-GSPL-GameStop NVMe SSD-Heatsink-1TB,True,SSD,SSD
26bd4331-cd6e-4400-9d0f-0ba1fa01cbf0,Toshiba XG3 512GB SSD M.2-2280 PCIe 3.0 x4 NVMe,Toshiba,XG3,512GB,,26bd4331-cd6e-4400-9d0f-0ba1fa01cbf0.json,,512,M.2-2280,B01K8AAKCE,,,,,118988237,M.2 PCIe 3.0 x4,,,THNSN5512GPU7,True,SSD,SSD
26c4a27a-4da1-4bf2-8330-7a09894e9b79,"Silicon Power Ace A56 1TB SSD 2.5"" SATA 6.0 Gb/s",Silicon Power,Ace,1000GB,,26c4a27a-4da1-4bf2-8330-7a09894e9b79.json,,1000,"2.5""",,,,,,,SATA 6.0 Gb/s,,,SP001TBSS3A56A25,False,SSD,SSD
26e0910c-5d7b-444a-9540-ea9986d99142,Western Digital PC SN730 1TB M.2 SSD PCIe 3.0 NVMe,Western Digital,PC,1000GB,,26e0910c-5d7b-444a-9540-ea9986d99142.json,,1000,M.2-2280,B08ZLKL7K7,,,,,,M.2 PCIe 3.0 x4,,,SDBQNTY-1TOO,True,SSD,SSD
26e0c05b-9579-4e5b-a324-8bfc4c886988,"TEAMGROUP T-Force Delta RGB Lite 500GB SSD 2.5"" SATA",TEAMGROUP,T-Force,500GB,,26e0c05b-9579-4e5b-a324-8bfc4c886988.json,,500,"2.5""",,,,,,,SATA 6.0 Gb/s,,,T253TR512G3C323,False,SSD,SSD
26fdf428-9dad-4d6d-ac08-1b72c5e71afe,Gigabyte AORUS Gen4 500GB M.2-2280 SSD PCIe 4.0 x4 NVMe,Gigabyte,AORUS,500GB,,26fdf428-9dad-4d6d-ac08-1b72c5e71afe.json,,500,M.2-2280,,,,,,,M.2 PCIe 4.0 x4,,,GP-AG4500G,True,SSD,SSD
270facca-4ab5-4e42-9be6-54be00037aea,"OCZ Vertex 4 128GB SSD 2.5"" SATA 6.0 Gb/s",OCZ,Vertex,128GB,,270facca-4ab5-4e42-9be6-54be00037aea.json,,128,"2.5""",,,,,,,SATA 6.0 Gb/s,,,VTX4-25SAT3-128G,False,SSD,SSD
2710a155-8320-44b5-bc65-05dfb40c1edb,Netac NV7000-t 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Netac,NV7000-t,2000GB,,2710a155-8320-44b5-bc65-05dfb40c1edb.json,,2000,M.2-2280,B0C7TR7H27,,,,,,M.2 PCIe 4.0 x4,,,NT01NV7000t-2T0-E4X | NV7000-t,True,SSD,SSD
27382568-78af-446c-8c21-50fdd4a09899,"Intel 545s 256 GB 2.5"" SSD SATA 6.0 Gb/s",Intel,545s,256GB,,27382568-78af-446c-8c21-50fdd4a09899.json,,256,"2.5""",B074S8V6Y1,,,,,404464716,SATA 6.0 Gb/s,,,SSDSC2KW256G8X1,False,SSD,SSD
2747b5be-5868-4e12-b0f4-c122746c196a,Corsair MP600 PRO LPX 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Corsair,MP600,2000GB,,2747b5be-5868-4e12-b0f4-c122746c196a.json,,2000,M.2-2280,B0BWYWN6NG,6574642,,,N82E16820236978,1018617009,M.2 PCIe 4.0 x4,,,CSSD-F2000GBMP600PLPW,True,SSD,SSD
2757ae52-5fee-47ce-a82c-d4730b33370b,TEAMGROUP T-Force Cardea II TUF Gaming Alliance 1TB SSD M.2 PCIe 3.0 NVMe,TEAMGROUP,T-Force,1000GB,,2757ae52-5fee-47ce-a82c-d4730b33370b.json,,1000,M.2-2280,,,,,,,M.2 PCIe 3.0 x4,,,TM8FPB001T0C310,True,SSD,SSD
2778345e-4843-453e-bda8-f91bbc588064,"Integral V Series 2 480GB SSD 2.5"" SATA",Integral,V,480GB,,2778345e-4843-453e-bda8-f91bbc588064.json,,480,"2.5""",,,,,,,SATA 6.0 Gb/s,,,INSSD480GS625V2,False,SSD,SSD
278c5e4d-be80-485a-9fe8-0f916da6b2b9,Corsair MP700 PRO 4TB SSD M.2-2280 PCIe 5.0 x4 NVMe,Corsair,MP700,4000GB,,278c5e4d-be80-485a-9fe8-0f916da6b2b9.json,,4000,M.2-2280,B0CWH9BX2P,,,,N82E16820982146,5500972476,M.2 PCIe 5.0 x4,,,CSSD-F4000GBMP700PNH,True,SSD,SSD
2790b02f-32ed-44fd-8f18-fa4f4551aff1,"PNY CS1111 120GB 2.5"" SSD SATA",PNY,CS1111,120GB,,2790b02f-32ed-44fd-8f18-fa4f4551aff1.json,,120,"2.5""",,,,,,,SATA 6.0 Gb/s,,,SSD7CS1111-120-RB,False,SSD,SSD
279ce5c4-4215-42b3-9429-ebc0b6898025,"Western Digital Red Plus 6TB HDD 5400RPM 3.5"" SATA 6.0 Gb/s",Western Digital,Red,6000GB,,279ce5c4-4215-42b3-9429-ebc0b6898025.json,,6000,"3.5""",B00LO3KR96,,,,,39137369,SATA 6.0 Gb/s,,,WD60EFRX | ST-6TBS | 64-WD60EFRX | ST-6TBS/64-WD60EFRX | WD60EFAX,False,HDD,HDD
27a3e4aa-eb9e-42eb-ba78-2f9c1a78bf24,"Seagate IronWolf Pro 125 960GB SSD 2.5"" SATA 6.0 Gb/s",Seagate,IronWolf,960GB,,27a3e4aa-eb9e-42eb-ba78-2f9c1a78bf24.json,,960,"2.5""",,,,,,,SATA 6.0 Gb/s,,,ZA960NX1A001,False,SSD,SSD
27da7495-3fbc-4005-8793-0144b43afe85,"Samsung ST250DM001/HD253GJ 250GB HDD 3.5"" 7200RPM SATA",Samsung,ST250DM001/HD253GJ,250GB,,27da7495-3fbc-4005-8793-0144b43afe85.json,,250,"3.5""",,,,,,,SATA 3.0 Gb/s,,,ST250DM001 | HD253GJ,False,HDD,HDD
