cooler_id,case_id,cooler_fan_size,cooler_fan_quantity,radiator_size,cooler_height,case_cooler_clearance,height_difference,cooler_case_height_ok,case_form_factor,label
fb655074-42f7-4940-bac9-ce9fb00c804f,44ab0fa6-87df-4b80-888c-e9e000d067ec,,,,150.0,67.0,-83.0,0,Mini ITX Tower,0
158e0b51-f560-46e1-b867-5a6fa20a40ab,220e6430-b81d-44ef-a838-36334295c5a8,,,,160.0,114.0,-46.0,0,Mini ITX Tower,0
74ddff6e-d75e-4450-b924-80995e4a6dc7,db89804c-72a0-4580-8efc-5cb103c6545d,,,,159.0,160.0,1.0,1,ATX Mid Tower,1
cb1f5b0e-2fcd-49df-a680-772d936a91ce,6bccc006-cb61-4837-9236-d2a8d7ae5a51,,,,158.0,146.0,-12.0,0,ATX Mid Tower,0
ad605895-245f-4870-af9a-7dc67c059481,f5c8f23f-5ad3-4d8b-b00e-722facf6d1f7,,,360.0,66.0,190.0,124.0,1,EATX Mid Tower,1
03486cdf-7c08-4bfb-80a6-690678adc744,516bc167-dbc0-4de7-9026-8849ebdbc2d5,,,,55.0,170.0,115.0,1,ATX Mid Tower,1
db7d78c0-9498-4d5a-971f-718486d023cc,257e1889-5f28-4bdc-9829-60856785a701,,,,155.0,154.0,-1.0,0,Micro ATX Mid Tower,0
f3e79d52-7b39-4e45-af6c-c1757670ecb9,1177cd60-a293-466f-b339-c51761b6d22d,,,,68.0,160.0,92.0,1,ATX Mid Tower,1
8aeba478-16d2-4431-b73f-7dfee08412dc,79f10ddb-49c4-495f-957a-926350d72ae4,,,,143.0,90.0,-53.0,0,Micro ATX Desktop,0
d713da8a-8e58-4a62-8f91-096a47ffabb3,ebccc65a-a3eb-4c39-896a-b87ea8aa1177,,,,148.0,48.0,-100.0,0,Mini ITX Tower,0
4d5b1b78-1911-42f0-882e-2a7e4b57fddf,4aecc04e-804e-489c-8a18-b436b0278e39,,,,152.0,210.0,58.0,1,Mini ITX Tower,1
42702ccc-10ab-4c1f-8936-8a3ca90f7eb8,75b8fa59-986c-4cbc-9dcc-c6574428233c,,,,157.0,210.0,53.0,1,Micro ATX Mini Tower,1
3a28d66d-9d29-4462-acd8-2291f6f3bc08,60c5e271-0eb8-433e-af3a-d1e1254d7c72,,,,155.0,150.0,-5.0,0,Mini ITX Tower,0
79ac65a2-f286-4f6a-b71a-26111c77bdaa,7e30d688-d0fa-4df1-9eb3-6dbd75cc2cd4,120.0,1,120.0,80.0,68.0,-12.0,0,Mini ITX Tower,0
b6f0a29b-e8d1-4834-b9b0-1462ea845a8c,cc86ec11-5446-420f-98df-b6e7cb1474de,,,,130.0,68.0,-62.0,0,Mini ITX Tower,0
22342351-91da-4bad-b1c7-c2cc57cf270a,eeaac00c-faaf-44a1-b77b-0e564fa03c2d,,,240.0,70.0,70.0,0.0,1,HTPC,1
2386504d-8de0-4e39-b736-4ace46a270af,3d27fdd9-bc63-4a3e-a137-250da2d72e55,,,,62.0,160.0,98.0,1,ATX Mid Tower,1
6af515fa-2d66-490c-b8b5-7fb12142cdcf,075432e5-2925-4078-a139-ee6335cc6360,,,360.0,59.0,180.0,121.0,1,ATX Mid Tower,1
f0cf7701-9790-491d-bc7f-781cf889c21e,b94b1010-5eda-4636-92a9-197bb6001245,,,,153.0,70.0,-83.0,0,Mini ITX Tower,0
65bcda04-ab05-4c6d-9d54-a9f87c611d10,ac2e969d-4794-4d99-9e61-188b47165ae0,,,240.0,62.0,170.0,108.0,1,ATX Mid Tower,1
a214b07e-bc35-458b-883f-c4f8b888e66d,1fd8dd0a-d739-41a1-b278-7bb4b5b70f5c,,,,165.0,165.0,0.0,1,Mini ITX Tower,1
e6c4b06d-294e-4178-b5a4-2ba9057dd0b0,603f47d4-68e1-420c-918a-127661f07c7b,,,,158.0,85.0,-73.0,0,Mini ITX Tower,0
89ada4b4-3a3f-49e5-b2e7-bc9550ccb4e3,27ab650d-474e-43e5-b913-8651e389dbac,,,420.0,68.0,170.0,102.0,1,ATX Mid Tower,1
