gpu_memory,gpu_memory_type,gpu_tdp,gpu_length,gpu_slot_width,case_gpu_clearance,case_form_factor,length_difference,label
16.0,GDDR6X,285.0,356.0,4.0,375.0,EATX Full Tower,19.0,1
10.0,GDDR6X,320.0,300.0,3.0,254.0,Mini ITX Tower,-46.0,0
32.0,GDDR7,600.0,329.0,4.0,320.0,Micro ATX Mini Tower,-9.0,0
24.0,GDDR6X,350.0,289.0,2.0,280.0,ATX Mid Tower,-9.0,0
8.0,GDDR6,215.0,267.0,3.0,370.0,ATX Mid Tower,103.0,1
16.0,GDDR7,360.0,332.0,4.0,315.0,Mini ITX Tower,-17.0,0
16.0,GDDR6,304.0,340.0,4.0,480.0,ATX Desktop,140.0,1
12.0,GDDR6,220.0,327.0,2.0,241.0,ATX Mid Tower,-86.0,0
2.0,GDDR5,120.0,173.0,2.0,370.0,ATX Mid Tower,197.0,1
8.0,GDDR6,115.0,311.0,4.0,426.0,ATX Mid Tower,115.0,1
16.0,GDDR7,300.0,338.0,3.0,305.0,ATX Mid Tower,-33.0,0
12.0,GDDR6X,220.0,300.0,2.88,410.0,ATX Mid Tower,110.0,1
12.0,GDDR6X,285.0,337.0,3.0,330.0,Micro ATX Mid Tower,-7.0,0
8.0,GDDR5X,180.0,280.0,2.0,390.0,ATX Mid Tower,110.0,1
32.0,GDDR7,575.0,325.0,3.35,330.0,Mini ITX Tower,5.0,1
