cooler_height,case_cooler_clearance,cooler_fan_size,cooler_fan_quantity,radiator_size,case_form_factor,height_difference,label
123.0,160.0,120.0,3,360.0,ATX Mid Tower,37.0,1
94.0,165.0,140.0,3,420.0,ATX Mid Tower,71.0,1
165.0,57.0,,,,Micro ATX Desktop,-108.0,0
158.0,170.0,,,,ATX Mid Tower,12.0,1
160.0,156.0,,,,ATX Mid Tower,-4.0,0
52.0,167.0,120.0,3,360.0,ATX Mid Tower,115.0,1
172.0,157.0,,,,ATX Mid Tower,-15.0,0
158.0,157.0,,,,ATX Mid Tower,-1.0,0
157.0,160.0,,,,ATX Mid Tower,3.0,1
50.0,170.0,,,240.0,ATX Mid Tower,120.0,1
47.6,185.0,120.0,2,240.0,ATX Full Tower,137.4,1
149.0,175.0,,,,ATX Mid Tower,26.0,1
165.0,170.0,,,,ATX Mid Tower,5.0,1
140.0,70.0,,,,HTPC,-70.0,0
67.0,200.0,,,,Mini ITX Tower,133.0,1
166.0,165.0,120.0,,,ATX Mid Tower,-1.0,0
169.0,166.0,,,,Micro ATX Mini Tower,-3.0,0
67.0,164.0,,,,Micro ATX Desktop,97.0,1
53.0,155.0,120.0,3,360.0,ATX Mid Tower,102.0,1
168.0,70.0,,,,HTPC,-98.0,0
155.0,150.0,,,,Mini ITX Tower,-5.0,0
149.0,130.0,,,,Mini ITX Tower,-19.0,0
46.0,165.0,120.0,3,360.0,ATX Mid Tower,119.0,1
142.0,88.2,,,,ATX Mid Tower,-53.8,0
63.0,160.0,,,360.0,ATX Mid Tower,97.0,1
65.0,185.0,420.0,1,420.0,ATX Mid Tower,120.0,1
52.0,190.0,,,240.0,EATX Mid Tower,138.0,1
165.0,120.0,,,,Mini ITX Tower,-45.0,0
120.0,170.0,,,,ATX Mid Tower,50.0,1
165.0,160.0,,,,ATX Mid Tower,-5.0,0
56.0,188.0,,,360.0,ATX Full Tower,132.0,1
105.0,180.0,,,360.0,ATX Mid Tower,75.0,1
169.0,195.0,,,,ATX Mid Tower,26.0,1
160.0,167.0,,,,Mini ITX Tower,7.0,1
158.0,155.0,,,,ATX Mid Tower,-3.0,0
167.0,163.5,,,,Micro ATX Mini Tower,-3.5,0
159.0,178.0,,,,ATX Mid Tower,19.0,1
168.0,77.0,,,,Mini ITX Tower,-91.0,0
157.0,70.0,,,,Mini ITX Tower,-87.0,0
23.0,155.0,,,,Micro ATX Mid Tower,132.0,1
137.0,150.0,120.0,3,360.0,Micro ATX Mid Tower,13.0,1
147.0,165.0,,,,ATX Mid Tower,18.0,1
160.0,159.0,,,,Micro ATX Mid Tower,-1.0,0
154.0,138.0,,,,HTPC,-16.0,0
157.0,155.0,,,,Micro ATX Mid Tower,-2.0,0
165.0,155.0,,,,Micro ATX Mini Tower,-10.0,0
130.0,77.0,,,,Mini ITX Tower,-53.0,0
125.0,170.0,120.0,3,360.0,ATX Mid Tower,45.0,1
129.0,83.0,,,,Mini ITX Tower,-46.0,0
151.0,135.0,,,,Micro ATX Mid Tower,-16.0,0
154.0,57.0,,,,Micro ATX Desktop,-97.0,0
130.0,165.0,,,,ATX Mid Tower,35.0,1
