psu_id,case_id,psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,psu_form_factor_match,psu_length_ok,label
0a2050c2-b4a0-454c-be91-1141cb7fa49b,710aa4bc-84c4-4176-8d3f-287d510cbb63,750.0,ATX,160.0,80+ GOLD,ATX,223.0,1,1,1
81fe40bc-c948-4f88-a3e4-e51cd9239f08,f302b257-e678-4bb4-b304-cb09ed521e7c,400.0,ATX,140.0,80+ BRONZE,ATX,220.0,1,1,1
119628ea-648a-4f1d-9408-af2decac027e,51c2e82d-01c1-47b9-9c6d-5798a19ff6bd,550.0,ATX,140.0,80+ BRONZE,ATX,200.0,1,1,1
a8e26d4c-bffa-4088-a167-7ffa8eb83c92,4b307959-2767-4a04-baf3-d9213293d320,750.0,ATX,160.0,80+ GOLD,ATX,,1,-1,1
b70fec4e-dd9c-4bf9-991f-34f03ef57584,2786f0a9-0b2c-410a-84a4-446c68479872,550.0,SFX,100.0,80+ GOLD,ATX,223.0,0,1,0
c3bb5c5f-6d66-44d8-a1bb-bc6f0f89f626,c1929670-8da8-4ecf-a40c-2e3116279251,800.0,ATX,140.0,80+ BRONZE,ATX,180.0,1,1,1
3be4e2a4-c0f3-46f2-b37c-806a06273dd3,86816bd7-32e5-4493-a219-c70e72d4dec6,500.0,ATX,157.0,,ATX,250.0,1,1,1
0b42a819-063f-4888-81a9-784fb20da2d4,7c3451cf-80fc-4040-a23a-a83bdb494606,1200.0,ATX,193.0,80+ PLATINUM,ATX,180.0,1,0,0
343a14d2-0db3-4d9f-9d4b-e54ab29ebc4b,d332c44c-10ba-45cc-94cc-41067d7d869c,650.0,ATX,160.0,80+ GOLD,ATX,223.0,1,1,1
c7b499d9-fb3e-4e23-bcae-484617c64289,5509f5a5-44e2-4693-8824-9a016a48e197,700.0,SFX,100.0,80+ GOLD,ATX,220.0,0,1,0
8279df8d-eb19-4cce-8dba-3b5a603235ea,1c2b21fc-ea2f-4803-ac59-83305a2442fc,600.0,SFX,130.0,80+ BRONZE,ATX,223.0,0,1,0
546d0f74-827d-42bf-b572-f2a03e6849f1,51b2027c-caff-483f-9398-25f2b30cd0d9,700.0,ATX,165.0,80+ BRONZE,SFX | SFX-L,,0,-1,0
1025d1ee-460b-4366-8fc1-076cc216b9ed,bc5d8359-89a9-4a80-92b9-3ab05f3f1c80,650.0,ATX,160.0,80+ GOLD,ATX,210.0,1,1,1
f6f79128-2777-4d76-90f2-d42db3a6b3aa,a46a072e-5bb7-49bd-bea7-4c1d9baa570d,1500.0,ATX,200.0,80+ GOLD,ATX,180.0,1,0,0
9dda7314-f280-41b6-94d5-9d0338ada5df,719c4262-c921-4a8c-a851-f78d405e4dad,500.0,ATX,140.0,,ATX,220.0,1,1,1
26e873ed-1f5e-4bef-b326-a8033f4c6a82,51b2027c-caff-483f-9398-25f2b30cd0d9,750.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0,-1,0
fc3c427f-7349-4743-aa39-3e4771dc5bb7,9e3aeb11-df9d-4130-bb41-f41a54b76972,400.0,ATX,140.0,80+,ATX,220.0,1,1,1
69ac40c4-8947-4c77-ae40-30dec2d007ba,db06f330-f5e1-4e8b-b6e5-8430c47ab17f,650.0,ATX,146.0,,ATX,220.0,1,1,1
57d1c23c-3d66-42c3-9227-79d1f53f61d6,7f7b3e0c-03f6-42ca-a2ca-2575c2f6ec82,650.0,SFX,100.0,80+ GOLD,ATX,,0,-1,0
b258deb5-18c8-492b-8c20-73ff62e31b5f,842d8d1a-e71a-46be-b7e8-e96617882044,450.0,ATX,140.0,80+ BRONZE,ATX,,1,-1,1
8f24b773-b187-498b-8a36-866c560fc477,b25d4954-d8f3-4b73-a3aa-ddfe6f79dea4,700.0,ATX,140.0,80+,ATX,,1,-1,1
566c5238-80b3-452d-81a1-b6dd05af43f1,6b734e18-04e6-4256-a58d-7c9b9458a9fe,850.0,ATX,150.0,80+ GOLD,ATX,200.0,1,1,1
452f9214-31d2-4a71-9925-c87df953cd85,fd263975-75c0-473d-964c-71b1df4ad722,200.0,Mini-ITX,150.0,,ATX,180.0,0,1,0
23654648-a678-470b-b388-466a5a12d24b,9bb5bd48-6564-4a15-bb8a-7d164f88ee49,600.0,ATX,139.0,,Flex ATX,,0,-1,0
6b583e9c-96fb-43f7-b92f-30613872743c,456a564c-2998-4260-b779-ee852852a829,600.0,ATX,160.0,80+,SFX | SFX-L,,0,-1,0
79b8253d-13c6-4962-a355-2903fc13e4ba,03ba5c32-d37c-424d-a122-10a66cec4179,650.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0,-1,0
e3c588c2-d452-4700-b8b8-1ca5397f1eb9,da61e6b8-8b99-4788-a20c-70e857eb414c,500.0,SFX,130.0,80+ GOLD,ATX,,0,-1,0
45816399-9784-4958-95c3-4c2b29b24c56,bc5d8359-89a9-4a80-92b9-3ab05f3f1c80,300.0,SFX,100.0,80+ BRONZE,ATX,210.0,0,1,0
0c297025-d0a0-4991-ab6f-8c6222670c76,e519477a-b9ff-42f0-833a-21db0890e33a,600.0,ATX,140.0,,ATX,220.0,1,1,1
b6acc8ce-6c11-4000-a601-e33156e8ed7c,ef06ada1-e96d-42ee-8726-05942881d65b,700.0,ATX,140.0,80+ GOLD,ATX,,1,-1,1
dab70b76-ab59-41c0-a408-6a31545b9d29,11e609ff-a638-4e8b-856b-2eb116615667,560.0,ATX,160.0,80+ SILVER,SFX | SFX-L,,0,-1,0
794b288c-d65d-43cc-b7f8-b6f052e94e09,de750bae-b9f3-496c-843d-9e33a4c77dd6,850.0,ATX,160.0,80+ GOLD,ATX,,1,-1,1
eca128e2-acb8-4d90-a1a7-bc7a471ad622,b097da10-4442-4d31-a7e1-fbf7a1b2a477,1000.0,SFX,126.0,80+ GOLD,ATX,180.0,0,1,0
4b42a098-7cfc-4983-95ce-9ea5a4c1ccf8,d92d15a1-1829-499a-a024-dc66b3579a34,850.0,ATX,170.0,80+ BRONZE,ATX,,1,-1,1
85d56729-7fe8-4732-85cf-54c9d5deee26,03ba5c32-d37c-424d-a122-10a66cec4179,750.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0,-1,0
4b52ca50-011b-4265-9fbd-6a85bcb1cdc2,1c2b21fc-ea2f-4803-ac59-83305a2442fc,600.0,ATX,140.0,80+ BRONZE,ATX,223.0,1,1,1
6640e4cc-9bd5-4a71-a26a-5ec7f82e4f74,03ba5c32-d37c-424d-a122-10a66cec4179,600.0,ATX,165.0,,SFX | SFX-L,,0,-1,0
5eaec358-2b94-43cd-a785-57d2c56c8dda,9b794a26-bde0-476e-81fe-ca80cae11738,850.0,ATX,150.0,80+ GOLD,ATX,223.0,1,1,1
e3536871-6fa1-4c7f-b952-13e0fc422faa,d376a58d-c9f6-43a8-a79f-c9a750a76310,1200.0,ATX,180.0,80+ GOLD,ATX,160.0,1,0,0
f8d76782-32fb-4818-b90d-820f2284c728,18a08afb-dc9b-459a-8bf1-de148727e4d3,1000.0,SFX,100.0,80+ PLATINUM,ATX,220.0,0,1,0
8119d1d6-1bed-4cb3-9b8a-7dbe5a7850ef,691cade7-28ae-4b98-93ed-f95766f3f0a6,300.0,SFX,100.0,80+ BRONZE,ATX,223.0,0,1,0
3164ba6e-b13e-4167-b364-1d418b84213a,9bb5bd48-6564-4a15-bb8a-7d164f88ee49,750.0,ATX,150.0,80+ GOLD,Flex ATX,,0,-1,0
479a943f-49f7-4301-a7b2-af6ee2ef90d2,bd22ec2e-6668-41e1-85c6-1305c6c7100a,1100.0,SFX,100.0,80+ PLATINUM,ATX,160.0,0,1,0
e4101b94-e60c-4ac4-93ca-974a2317f140,42d47c5a-8e21-4da9-ba4e-ea55290ce616,850.0,ATX,150.0,80+ BRONZE,ATX,,1,-1,1
4d0046fe-59bd-4fb3-9ed2-552ed1ae7d03,11e609ff-a638-4e8b-856b-2eb116615667,850.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0,-1,0
